segment_id,edge_idx,source,target,direction,br,km_start,km_end,length_km,midpoint_lat,midpoint_lon
113,56,6g11ss90,6g11xbh1,D,472,173.4,189.3,15.900000000000006,-27.848879764999964,-54.57095035499995
114,57,6g11ss90,6g11eqwf,C,472,189.3,194.9,5.599999999999994,-27.830877234999974,-54.66804490499996
115,57,6g11eqwf,6g11ss90,D,472,189.3,194.9,5.599999999999994,-27.830877234999974,-54.66804490499996
116,58,6g11eqwf,6g11c3t0,C,472,194.9,205.5,10.599999999999994,-27.817064844999976,-54.73660953499996
117,58,6g11c3t0,6g11eqwf,D,472,194.9,205.5,10.599999999999994,-27.817064844999976,-54.73660953499996
118,59,6g11c3t0,6g0cknu2,C,472,205.5,234.0,28.5,-27.838573034999968,-54.89757349499996
119,59,6g0cknu2,6g11c3t0,D,472,205.5,234.0,28.5,-27.838573034999968,-54.89757349499996
120,60,6g0cknu2,6g0c1q3u,C,472,234.0,249.4,15.400000000000006,-27.891127569999952,-55.07558513499998
121,60,6g0c1q3u,6g0cknu2,D,472,234.0,249.4,15.400000000000006,-27.891127569999952,-55.07558513499998
122,61,6g0c1q3u,6g0bjb7r,C,392,630.4,668.8,38.39999999999998,-28.01822327499994,-55.03789228499997
123,61,6g0bjb7r,6g0c1q3u,D,392,630.4,668.8,38.39999999999998,-28.01822327499994,-55.03789228499997
124,62,6fbhvf45,6fbhykqb,C,472,404.4,407.5,3.1000000000000227,-28.678754479999952,-55.980165134999936
125,62,6fbhykqb,6fbhvf45,D,472,404.4,407.5,3.1000000000000227,-28.678754479999952,-55.980165134999936
126,63,6fbhvf45,6dzfh6ze,C,472,407.5,477.7,70.19999999999999,-28.924297364999973,-56.19947238499995
127,63,6dzfh6ze,6fbhvf45,D,472,407.5,477.7,70.19999999999999,-28.924297364999973,-56.19947238499995
128,64,6fbhykqb,6fbk4zhz,C,287,508.3,532.7,24.400000000000034,-28.73061788499993,-55.86838912999994
129,64,6fbk4zhz,6fbhykqb,D,287,508.3,532.7,24.400000000000034,-28.73061788499993,-55.86838912999994
130,65,6fbhykqb,6fbhyj7r,C,285,672.6,674.3,1.6999999999999318,-28.669493049999943,-55.973778884999945
131,65,6fbhyj7r,6fbhykqb,D,285,672.6,674.3,1.6999999999999318,-28.669493049999943,-55.973778884999945
132,66,6fbhykqb,6fbt8jh0,C,285,628.1,672.6,44.5,-28.604833819999953,-55.753473234999944
133,66,6fbt8jh0,6fbhykqb,D,285,628.1,672.6,44.5,-28.604833819999953,-55.753473234999944
134,67,6dzfh6ze,6dzf44fg,C,472,477.7,488.2,10.5,-29.16394549499995,-56.45711461999997
135,67,6dzf44fg,6dzfh6ze,D,472,477.7,488.2,10.5,-29.16394549499995,-56.45711461999997
136,68,6dzf44fg,6dz8wpqd,C,472,488.2,519.6,31.400000000000034,-29.28353336999993,-56.59502321499997
137,68,6dz8wpqd,6dzf44fg,D,472,488.2,519.6,31.400000000000034,-29.28353336999993,-56.59502321499997
138,69,6dz8wpqd,6dxqtw6s,C,472,519.6,582.1,62.5,-29.581453509999932,-56.86975237499996
139,69,6dxqtw6s,6dz8wpqd,D,472,519.6,582.1,62.5,-29.581453509999932,-56.86975237499996
140,70,6dxqtw6s,6dxqts7d,C,290,720.2,721.5,1.2999999999999545,-29.765473984999943,-57.05872512499997
141,70,6dxqts7d,6dxqtw6s,D,290,720.2,721.5,1.2999999999999545,-29.765473984999943,-57.05872512499997
142,71,6dxqtw6s,6dxquc6n,C,290,721.5,726.0,4.5,-29.751424089999944,-57.07621734999995
143,71,6dxquc6n,6dxqtw6s,D,290,721.5,726.0,4.5,-29.751424089999944,-57.07621734999995
144,72,6dxqts7d,6dxqschr,C,472,583.4,587.4,4.0,-29.779637419999943,-57.07403170499995
145,72,6dxqschr,6dxqts7d,D,472,583.4,587.4,4.0,-29.779637419999943,-57.07403170499995
146,73,6dxqts7d,6dxw1ej4,C,290,699.3,720.2,20.90000000000009,-29.81853821499996,-56.96918631999998
147,73,6dxw1ej4,6dxqts7d,D,290,699.3,720.2,20.90000000000009,-29.81853821499996,-56.96918631999998
148,74,6dxqschr,6dxh4hrv,C,472,587.4,656.6,69.20000000000005,-29.999097519999935,-57.323714139999936
149,74,6dxh4hrv,6dxqschr,D,472,587.4,656.6,69.20000000000005,-29.999097519999935,-57.323714139999936
150,75,6ffsjbun,6ffeugqq,C,153,202.7,208.5,5.800000000000011,-28.83802680499997,-52.496436279999955
151,75,6ffeugqq,6ffsjbun,D,153,202.7,208.5,5.800000000000011,-28.83802680499997,-52.496436279999955
152,76,6ffsjbun,6ffsjhmj,C,153,199.0,202.7,3.6999999999999886,-28.81337394999997,-52.49182699499994
153,76,6ffsjhmj,6ffsjbun,D,153,199.0,202.7,3.6999999999999886,-28.81337394999997,-52.49182699499994
154,77,6ffsjbun,6ffeyr4q,C,386,249.0,251.6,2.5999999999999943,-28.827714044999965,-52.46629830499995
155,77,6ffeyr4q,6ffsjbun,D,386,249.0,251.6,2.5999999999999943,-28.827714044999965,-52.46629830499995
156,78,6ffeugqq,6ffd7pst,C,153,208.5,243.9,35.400000000000006,-28.973392719999964,-52.556418174999976
157,78,6ffd7pst,6ffeugqq,D,153,208.5,243.9,35.400000000000006,-28.973392719999964,-52.556418174999976
158,79,6ffd7pst,6ff83t2d,C,153,243.9,291.6,47.70000000000002,-29.275822099999942,-52.63185402499997
159,79,6ff83t2d,6ffd7pst,D,153,243.9,291.6,47.70000000000002,-29.275822099999942,-52.63185402499997
160,80,6ff83t2d,6fdx5bwr,C,153,291.6,325.3,33.69999999999999,-29.580529679999955,-52.61431868999995
161,80,6fdx5bwr,6ff83t2d,D,153,291.6,325.3,33.69999999999999,-29.580529679999955,-52.61431868999995
162,81,6fdx5bwr,6fdxn7pq,C,287,104.3,115.4,11.100000000000009,-29.69628245499996,-52.505368569999945
163,81,6fdxn7pq,6fdx5bwr,D,287,104.3,115.4,11.100000000000009,-29.69628245499996,-52.505368569999945
164,82,6fdx5bwr,6fdrnuwh,C,153,325.3,348.2,22.899999999999977,-29.692340009999953,-52.67100086999994
165,82,6fdrnuwh,6fdx5bwr,D,153,325.3,348.2,22.899999999999977,-29.692340009999953,-52.67100086999994
166,83,6fdxn7pq,6fdwy7vm,C,471,133.7,138.4,4.700000000000017,-29.709475029999936,-52.45097489999995
167,83,6fdwy7vm,6fdxn7pq,D,471,133.7,138.4,4.700000000000017,-29.709475029999936,-52.45097489999995
168,84,6fdxn7pq,6fdxpe1u,C,287,99.1,104.3,5.200000000000003,-29.689675369999946,-52.425969289999955
169,84,6fdxpe1u,6fdxn7pq,D,287,99.1,104.3,5.200000000000003,-29.689675369999946,-52.425969289999955
170,85,6fdwy7vm,6fdwwyzy,C,471,138.4,142.9,4.5,-29.743095259999933,-52.43955615499996
171,85,6fdwwyzy,6fdwy7vm,D,471,138.4,142.9,4.5,-29.743095259999933,-52.43955615499996
172,86,6fdwwyzy,6fdv2r2w,C,471,142.9,168.4,25.5,-29.865243259999943,-52.398965894999975
173,86,6fdv2r2w,6fdwwyzy,D,471,142.9,168.4,25.5,-29.865243259999943,-52.398965894999975
174,87,6fdv2r2w,6fdu20nc,C,471,168.4,192.8,24.400000000000006,-30.081952814999966,-52.37223968499998
175,87,6fdu20nc,6fdv2r2w,D,471,168.4,192.8,24.400000000000006,-30.081952814999966,-52.37223968499998
176,88,6fdu20nc,6fdg83fj,C,471,192.8,207.1,14.299999999999983,-30.25095094499997,-52.37122631499997
177,88,6fdg83fj,6fdu20nc,D,471,192.8,207.1,14.299999999999983,-30.25095094499997,-52.37122631499997
178,89,6fdu20nc,6fdux8mk,C,290,183.3,215.7,32.39999999999998,-30.167206584999974,-52.20964609499998
179,89,6fdux8mk,6fdu20nc,D,290,183.3,215.7,32.39999999999998,-30.167206584999974,-52.20964609499998
180,90,6fdu20nc,6fd7v63m,C,290,215.7,262.8,47.10000000000002,-30.22757354999996,-52.613433964999984
181,90,6fd7v63m,6fdu20nc,D,290,215.7,262.8,47.10000000000002,-30.22757354999996,-52.613433964999984
182,91,6fdg83fj,6fddm3pr,C,471,207.1,237.2,30.099999999999994,-30.423441424999965,-52.43130131999996
183,91,6fddm3pr,6fdg83fj,D,471,207.1,237.2,30.099999999999994,-30.423441424999965,-52.43130131999996
184,92,6fddm3pr,6fddm88m,C,471,237.2,237.6,0.4000000000000057,-30.536740814999973,-52.49280650499995
185,92,6fddm88m,6fddm3pr,D,471,237.2,237.6,0.4000000000000057,-30.536740814999973,-52.49280650499995
186,93,6fddm88m,6f6xfpd5,C,471,237.6,300.0,62.400000000000006,-30.738992339999953,-52.56782909499995
187,93,6f6xfpd5,6fddm88m,D,471,237.6,300.0,62.400000000000006,-30.738992339999953,-52.56782909499995
188,94,6f6xfpd5,6f6qtme1,C,471,300.0,335.2,35.19999999999999,-31.05518049999995,-52.74728757999998
189,94,6f6qtme1,6f6xfpd5,D,471,300.0,335.2,35.19999999999999,-31.05518049999995,-52.74728757999998
190,95,6f6qtme1,6f6t84nt,C,392,125.0,150.3,25.30000000000001,-31.26789136499997,-52.78818294499996
191,95,6f6t84nt,6f6qtme1,D,392,125.0,150.3,25.30000000000001,-31.26789136499997,-52.78818294499996
192,96,6f6qtme1,6fd0qgg4,C,392,150.3,199.9,49.599999999999994,-31.021605189999974,-52.99374999999998
193,96,6fd0qgg4,6f6qtme1,D,392,150.3,199.9,49.599999999999994,-31.021605189999974,-52.99374999999998
194,97,6f6t84nt,6f6t2v7g,C,392,120.7,125.0,4.299999999999997,-31.378224254999964,-52.710766409999934
195,97,6f6t2v7g,6f6t84nt,D,392,120.7,125.0,4.299999999999997,-31.378224254999964,-52.710766409999934
196,98,6f6t2v7g,6f6exbqx,C,392,71.3,120.7,49.400000000000006,-31.558612684999957,-52.540477084999935
197,98,6f6exbqx,6f6t2v7g,D,392,71.3,120.7,49.400000000000006,-31.558612684999957,-52.540477084999935
198,99,6f6exbqx,6f6ersbq,C,116,526.5,529.4,2.8999999999999773,-31.73558190999995,-52.39451697499996
199,99,6f6ersbq,6f6exbqx,D,116,526.5,529.4,2.8999999999999773,-31.73558190999995,-52.39451697499996
200,100,6f6exbqx,6f6g29em,C,293,0.0,5.3,5.3,-31.74459315499996,-52.370611064999935
201,100,6f6g29em,6f6exbqx,D,293,0.0,5.3,5.3,-31.74459315499996,-52.370611064999935
202,101,6f6exbqx,6f6g84mm,C,116,524.9,526.5,1.6000000000000227,-31.720540624999956,-52.380177534999945
203,101,6f6g84mm,6f6exbqx,D,116,524.9,526.5,1.6000000000000227,-31.720540624999956,-52.380177534999945
204,102,6f6ersbq,6f6g0x0b,C,392,62.2,68.4,6.200000000000003,-31.76157244999996,-52.38187640999996
205,102,6f6g0x0b,6f6ersbq,D,392,62.2,68.4,6.200000000000003,-31.76157244999996,-52.38187640999996
206,103,6f6ersbq,6f6eqffg,C,116,529.4,532.5,3.1000000000000227,-31.751073249999962,-52.418917479999976
207,103,6f6eqffg,6f6ersbq,D,116,529.4,532.5,3.1000000000000227,-31.751073249999962,-52.418917479999976
208,104,6f6g0x0b,6f6cd8yn,C,392,26.9,62.2,35.300000000000004,-31.92632212999996,-52.31211998499995
209,104,6f6cd8yn,6f6g0x0b,D,392,26.9,62.2,35.300000000000004,-31.92632212999996,-52.31211998499995
210,105,6f6cd8yn,6f6ckupp,C,392,16.2,26.9,10.7,-32.08779796999994,-52.21447703999996
211,105,6f6ckupp,6f6cd8yn,D,392,16.2,26.9,10.7,-32.08779796999994,-52.21447703999996
212,106,6f4kx79r,6f414pgj,C,471,573.8,659.2,85.40000000000009,-33.234507089999966,-53.05537090499996
213,106,6f414pgj,6f4kx79r,D,471,573.8,659.2,85.40000000000009,-33.234507089999966,-53.05537090499996
214,107,6f414pgj,6f1brf2g,C,471,659.2,679.9,20.699999999999932,-33.61185376499995,-53.39627870499996
215,107,6f1brf2g,6f414pgj,D,471,659.2,679.9,20.699999999999932,-33.61185376499995,-53.39627870499996
216,108,6g56uxrv,6g56uy3r,C,470,0.0,0.6,0.6,-27.60335483999995,-51.470080689999946
217,108,6g56uy3r,6g56uxrv,D,470,0.0,0.6,0.6,-27.60335483999995,-51.470080689999946
218,109,6g56uy3r,6g56t5gn,C,470,0.6,10.2,9.6,-27.634917574999946,-51.46226278499995
219,109,6g56t5gn,6g56uy3r,D,470,0.6,10.2,9.6,-27.634917574999946,-51.46226278499995
220,110,6g56t5gn,6g53mj67,C,470,10.2,34.7,24.500000000000004,-27.76985157499996,-51.45607921499996
221,110,6g53mj67,6g56t5gn,D,470,10.2,34.7,24.500000000000004,-27.76985157499996,-51.45607921499996
222,111,6g53mj67,6g53kcw1,C,470,34.7,37.4,2.6999999999999957,-27.88627377499995,-51.45945515499997
223,111,6g53kcw1,6g53mj67,D,470,34.7,37.4,2.6999999999999957,-27.88627377499995,-51.45945515499997
224,112,6g53kcw1,6g52tjtg,C,470,37.4,49.7,12.300000000000004,-27.951535324999952,-51.45711841499997
225,112,6g52tjtg,6g53kcw1,D,470,37.4,49.7,12.300000000000004,-27.951535324999952,-51.45711841499997
226,113,6g52tjtg,6fgrgc4q,C,470,49.7,70.3,20.599999999999994,-28.084312584999964,-51.48181737499996
227,113,6fgrgc4q,6g52tjtg,D,470,49.7,70.3,20.599999999999994,-28.084312584999964,-51.48181737499996
228,114,6fgrgc4q,6fgre9b2,C,470,70.3,75.3,5.0,-28.18279627499996,-51.51862944999996
229,114,6fgre9b2,6fgrgc4q,D,470,70.3,75.3,5.0,-28.18279627499996,-51.51862944999996
230,115,6fgre9b2,6fgrk4j4,C,285,193.5,199.3,5.800000000000011,-28.22435610499997,-51.51123329999996
231,115,6fgrk4j4,6fgre9b2,D,285,193.5,199.3,5.800000000000011,-28.22435610499997,-51.51123329999996
232,116,6fgre9b2,6fgr3tfr,C,285,199.3,209.0,9.699999999999989,-28.21364684499997,-51.568022129999946
233,116,6fgr3tfr,6fgre9b2,D,285,199.3,209.0,9.699999999999989,-28.21364684499997,-51.568022129999946
234,117,6fgrk4j4,6fgrhctd,C,285,186.7,193.5,6.800000000000011,-28.26874446499997,-51.480134059999955
235,117,6fgrhctd,6fgrk4j4,D,285,186.7,193.5,6.800000000000011,-28.26874446499997,-51.480134059999955
